Year,Month,Celcius,City,temperature
2019,1,0.833333333,Wichita,0.833333333
2019,2,0.722222222,Wichita,0.722222222
2019,3,6.611111111,Wichita,6.611111111
2019,4,14.61111111,Wichita,14.61111111
2019,5,18.22222222,Wichita,18.22222222
2019,6,24.38888889,Wichita,24.38888889
2019,7,27.5,Wichita,27.5
2019,8,26.55555556,Wichita,26.55555556
2019,9,25.94444444,Wichita,25.94444444
2019,10,12.5,Wichita,12.5
2019,11,6.5,Wichita,6.5
2019,12,3.833333333,Wichita,3.833333333
2020,1,2.555555556,Wichita,2.555555556
2020,2,3.055555556,Wichita,3.055555556
2020,3,10.33333333,Wichita,10.33333333
2020,4,13.05555556,Wichita,13.05555556
2020,5,18.05555556,Wichita,18.05555556
2020,6,26.83333333,Wichita,26.83333333
2020,7,27.94444444,Wichita,27.94444444
2020,8,25.88888889,Wichita,25.88888889
2020,9,20.38888889,Wichita,20.38888889
2020,10,12.66666667,Wichita,12.66666667
2020,11,9.944444444,Wichita,9.944444444
2020,12,3.277777778,Wichita,3.277777778
2021,1,2.055555556,Wichita,2.055555556
2021,2,-3.277777778,Wichita,-3.277777778
2021,3,10.44444444,Wichita,10.44444444
2021,4,12.88888889,Wichita,12.88888889
2021,5,17.55555556,Wichita,17.55555556
2021,6,25.22222222,Wichita,25.22222222
2021,7,26.27777778,Wichita,26.27777778
2021,8,27.55555556,Wichita,27.55555556
2021,9,24.22222222,Wichita,24.22222222
2021,10,16.61111111,Wichita,16.61111111
2021,11,9.111111111,Wichita,9.111111111
2021,12,6.833333333,Wichita,6.833333333
2022,1,0.444444444,Wichita,0.444444444
2022,2,0.555555556,Wichita,0.555555556
2022,3,8.222222222,Wichita,8.222222222
2022,4,14.27777778,Wichita,14.27777778
2022,5,19.77777778,Wichita,19.77777778
2022,6,25.44444444,Wichita,25.44444444
2022,7,28.83333333,Wichita,28.83333333
2022,8,28.16666667,Wichita,28.16666667
2022,9,23.83333333,Wichita,23.83333333
2022,10,16.11111111,Wichita,16.11111111
2022,11,6.555555556,Wichita,6.555555556
2022,12,1.111111111,Wichita,1.111111111
2023,1,2.611111111,Wichita,2.611111111
2023,2,3.777777778,Wichita,3.777777778
2023,3,8.055555556,Wichita,8.055555556
2023,4,14,Wichita,14
2023,5,20.11111111,Wichita,20.11111111
2023,6,24.55555556,Wichita,24.55555556
2023,7,27.11111111,Wichita,27.11111111
2023,8,28,Wichita,28
